ID,URL,Recipe Name,Ingredients,Instructions
4f78862c,https://www.holajalapeno.com/molasses-banana-bread/,Our Favorite Molasses Banana Bread,"['4 very ripebananas', '2large eggs', '3/4 cupdark brown sugar', '2/3 cupvegetable oil', '1/4 cupblackstrap molasses', '2 cupsall-purpose flour', '1 1/2 teaspoonsbaking powder', '1 1/2 teaspoonsground cinnamon', '1/2 teaspoonbaking soda', '1/2 teaspoonground ginger', '1/2 teaspoonsalt']","['Heat oven and prepare pan.Heat oven to 350°F and arrange a rack in the middle. Grease a 9 x 5 inch baking pan.', 'Combine ingredients.Mashtogether bananas and eggs in a large bowl until almost a puree. Add brown sugar, oil, and molasses andwhiskto combine.\xa0Add flour, baking powder, cinnamon, baking soda, ginger, and salt.\xa0Stir together with a rubber spatula orwooden spoonjust until combined and all flour is mixed in.', 'Bake.Scrape into prepared pan and bake until golden and baked through, about 50-60 minutes. Insert a skewer in the middle, if it comes out clean the bread is ready.\xa0Let bread cool on a rack at least 15 minutes before removing from the pan. Cool completely before slicing']"
4c2adb5c,https://thecreeksidecook.com/moms-banana-bread/,Mom’s Banana Bread,"['3large or 4 smaller ripe bananas', '1egg', '2tablespoonsvegetable oil', '2tablespoonsmolasses', '1/2cupgranulated sugar', '1& 1/2 cups all purpose flour', '1teaspoonbaking soda', '1/2teaspoonsalt', '1/2 to 1cupchopped lightly toasted walnuts']","['Preheat the oven to 350º and generously butter a 9 x 5 inch loaf pan.', 'Peel the bananas and place them in a medium mixing bowl. Mash them with a potato masher or fork until they are mostly liquified, but with some small chunks still.', 'Stir in the egg, oil, molasses and sugar, until the sugar is mostly dissolved.', 'In a smaller bowl, whisk together the flour, baking soda and salt.', 'Add to the banana mixture and fold together, just until incorporated - do not overmix!', 'Fold in the nuts.', 'Spread the batter evenly in the prepared pan, and place on middle rack of the oven.', 'Bake for about 45 minutes, turning halfway through the baking time until a toothpick inserted in the center comes out clean. If you want to test by temperature the center should read about 190º on an instant read thermometer. It will be very richly browned across the top when it is done.', 'Cool in the pan for about 5 minutes, then turn out to cool further on a rack. Wait at least 30 minutes to slice. Store leftover tightly wrapped and refrigerate if keeping more than a couple days.']"
692ee1ff,https://www.twopinkpeonies.com/molasses-and-buttermilk-banana-bread/,Molasses Banana Bread,"['▢3large ripe bananasmashed with a fork', '▢¾cupwhite sugar', '▢½cupbrown sugar', '▢1teaspoonbaking soda', '▢½teaspoonsalt', '▢1teaspooncinnamon', '▢½teaspoonnutmeg', '▢1teaspoonvanilla extract', '▢½cupunsalted buttermelted and cooled', '▢2cupsall purpose flour', '▢3tablespoonsmolassesmeasure carefully as it can be quite strong', '▢⅓cupbuttermilk', '▢2large eggsbeaten', '▢½cupchopped walnuts or pecansoptional']","['Begin by preheating your oven to 350 degrees.', 'Next, spray a loaf pan with non-stick cooking spray.', 'In a large mixing bowl add flour, sugar, brown sugar, baking soda, salt, cinnamon, and nutmeg.', 'Next gently fold in the eggs, vanilla, and bananas.', 'Add your melted butter (make sure it is cooled before so it does not scramble the eggs when mixed in).', 'Add the buttermilk and molasses and mix well with a hand mixer for about three minutes.', 'If desired add ½ cup of walnuts or pecans. Gently stir into the mix with a wooden spoon or a spatula.', 'Pour into a loaf pan and bake for 55 minutes to 1 hour or until a tooth pick comes out clean from the middle.']"
9a859f16,https://www.thekitchenmagpie.com/banana-gingerbread/,Banana Gingerbread Loaf,"['▢3/4cupbutter softened', '▢1cupbrown sugar white if you want a sweeter loaf', '▢2eggs', '▢3cupsof mashed bananas around 6-7 medium banana’s', '▢1cupof molassescooking molasses for deep dark flavour, fancy molasses for a lighter flavour', '▢3cupsof flour', '▢2 1/2teaspoonsginger', '▢2teaspoonscinnamon', '▢1teaspooncloves', '▢1/2teaspoonnutmeg', '▢1teaspoonbaking powder', '▢1teaspoonbaking soda']","['Pre-heat your oven to 350 degrees F.', 'Grease and flour two loaf pans.', 'Beat the butter and sugar until light and fluffy.', 'Beat in the eggs until combined.', 'Mix in the banana and molasses until completely combined.', 'In a separate bowl, whisk together the dry ingredients.', 'Mix the dry ingredients into the wet mixture until completely mixed in.', 'Divide the batter between the loaf pans and bake for 50-60 minutes, until a cake tester inserted comes out clean.', 'Remove and cool for 10-15 minutes, then remove from the pans onto a wire rack and cool completely.', 'Store wrapped up and enjoy!']"
4501677b,https://www.hummingbirdhigh.com/2020/04/banana-bread-with-sour-cream.html,Moist Banana Bread with Sour Cream,"['▢2cups(9 ounces or 256 grams) all-purpose flour', '▢1teaspoonbaking soda', '▢1teaspoonkosher salt', '▢½cup(4 ounces or 113 grams) unsalted butter,at room temperature', '▢1cuptightly packed (7.5 ounces or 213 grams) light OR dark brown sugar', '▢2large eggs,at room temperature', '▢½cup(4 ounces or 113 grams) sour cream,at room temperature', '▢1Tablespoonpure vanilla extract', ""▢12ounces(or 340 grams)very ripepeeledbananas (see baker's notes for cup measures)""]","['Prep your oven and pan.Position a rack in the center of the oven and preheat the oven to 350°F. Spray a 9 x 5-inch loaf pan with cooking spray and line with parchment paper, leaving a 2-inch overhang on the long sides. Spray the parchment, too.', 'Make the banana bread.In a medium bowl, whisk together the flour, baking soda, and salt.', 'In the bowl ofa stand mixer fitted with the paddle attachment, combine the butter and brown sugar. Beat on medium-high until light, fluffy, and doubled in volume, 3 to 5 minutes, usinga rubber spatulato scrape down the bottom and sides of the bowl as necessary. Reduce the mixer to low and add the eggs one at a time, adding the next egg only after the previous one has been fully incorporated, scraping down the bottom and sides of the bowl after each addition. Add the sour cream and vanilla all at once and beat on low until combined. Gradually add the dry ingredients and beat until just combined. Add the bananas a handful at a time and beat until broken into pieces and distributed evenly throughout the batter, about 1 minute. Scrape down the bottom and sides of the bowl once more, and beat on low for an additional 30 seconds.', ""Pour the batter into the prepared pan and usean offset spatulato smooth the top. Use a sharp knife to slice an extra peeled banana (there's no need to weigh this one!) in half lengthwise. Place the banana halves, cut-side up, on top of the batter."", 'Bake the banana bread.Bake for 60 to 65 minutes, or until a skewer inserted into the center of the banana bread comes out with few crumbs attached. Cool ona wire rack.', 'Serve and store.Serve warm or at room temperature. The banana bread can be stored at room temperature, wrapped tightly in plastic wrap, for up to 3 days.']"
c22fdee5,https://bakingwithbutter.com/gingerbread-banana-bread/,Banana Gingerbread with Molasses,"['113g (1/2 cup) unsalted butter', '240g (2 large) extra ripe bananas', '2 large eggs', '150g (¾ cup) soft brown sugar', '95g (⅓ cup) unsulphured molasses', '1 tsp vanilla paste or extract', '250g (2 cups*) all-purpose flour', '2 1/2 tsp ground ginger', '1 1/2 tsp ground cinnamon', '1/2 tsp ground nutmeg', '¼ tsp ground cloves', '1 tsp baking soda', '1/2 tsp salt', '240g (1 cup) hot boiled water']","['Preheat the oven to 356 °F (176°C). Grease and line a 9x5-inch (23 x 16cm) loaf pan.', 'Melt the butter in a large bowl. Add in the bananas and mash them well. Add the sugar, vanilla, egg, and molasses and whisk until combined.', 'Whisk together the flour, spices, salt, and baking soda in a separate bowl.', 'Add the dry ingredients to the banana mixture and whisk together until combined.', ""Pour over the hot water and stir it carefully until combined into a pourable cake batter. There will be lumps from the mashed banana and that's okay."", 'Pour the batter into a prepared loaf pan.', 'Slice the extra banana lengthwise and place the sliced banana on top of the batter. Sprinkle with a little turbinado sugar.', 'Bake in a preheated oven for approximately 60 minutes until cooked through and a knife inserted in the loaf comes out clean.', 'Remove the loaf from the oven and allow it to cool in the pan for 5 minutes.', 'Lift it from the pan and allow it to cool further on a wire rack for at least 20 minutes before slicing.']"
c6d5bc28,https://glutenfreeeasily.com/molasses-banana-bread-cake/,Gluten-Free Molasses Banana Bread,"['4 tbsp butter, softened, or coconut oil, liquefied)', '3/4 cupmolasses', '1/4 cup sugar granulated sugar (coconut sugar would be great, too)', '1 1/4 cup gluten-free all-purpose flour mix (I use myTwo-Ingredient Flour Mix)', '1 heaping tspxanthan gum', '1/2 tsp salt (this saltis my favorite)', '1/2 tspbaking soda', '2 eggs', '3 ripe bananas, mashed', '1 cup chopped nuts (optional, I used walnuts this time)', 'Other optional ingredients are mini chocolate chips, orange zest, and nutmeg.']","['Preheat oven to 350 degrees Fahrenheit. Greaseloaf pan(I used twomini loaf pansfor the loaves in these photos) and then coat the inside of the pan with a mixture of cinnamon and sugar. (I always have a cinnamon-sugar mix made up for myCinnamon-Sugar-Crusted Popovers.)', 'Cream butter, molasses, and sugar.', 'Whisk in flour, salt, baking soda, and xanthan gum until well mixed and evenly brown.', 'Beat in eggs.', 'Stir in bananas and any optional ingredients.', 'Pour into greased loaf pan. Bake 50 to 60 minutes or until a toothpick comes out clean. (Even the mini loaves take 50 minutes.) Cool in pan for 10 - 15 minutes before removing to cool completely. Now see if you can hold off from eating a piece!']"
f8afdee7,https://avirtualvegan.com/best-vegan-banana-bread/,Best Vegan Banana Bread,"['▢3medium 7 to 8 inch longbananas, (weighing approx 375 grams or 13 oz in total when peeled). Plus some extra slices for the top if you can.', '▢¼ cup  (60ml)liquid oil, or ¼ cup (4 tablespoons) of natural nut/seed butter', '▢½ cup (100grams)sugar, white, cane, brown or coconut', '▢1tablespoonmolasses, blackstrap or regular', '▢½teaspoonsalt', '▢2 cup  (250grams)all-purpose flour or spelt flour, (plain flour in the UK). Wholewheat flour or 1 to 1 Gluten-Free all purpose flour work well too', '▢2teaspoonsbaking powder', '▢½ cup  (85grams)chocolate chips, plus a few more for sprinkling', '▢½ cup  (60grams)chopped walnuts or pecans, (omit to make nut-free), plus a few more for sprinkling']","['▢Preheat oven to 350°F and grease an 8.5 x 4.5 inch or 9 x 5 inch loaf pan. Line the pan with a strip of parchment paper along the bottom, making sure it comes up over the ends so you can use it as a handle to lift the loaf out once cooked.', '▢Peel the bananas then mash them really well with a fork until they are a puree.', '▢Add the coconut oil (or nut butter), sugar, black strap molasses and salt and beat well until smooth.', '▢Add the flour and baking powder and gently fold it all together. Do not over mix. You want it so that it is just combined and so that you cannot see any dry flour throughout the mixture. When almost mixed up, add the chocolate chips and nuts and stir gently to combine.', '▢Pour into your prepared pan and sprinkle over a few more chocolate chips or nuts, or both.', '▢Bake in oven for around 50 minutes or until a tooth pick or skewer comes out clean when inserted through the middle.\xa0Lift out of pan, remove parchment paper and cool on a cooling rack.']"
601acd1e,https://www.halfbakedharvest.com/chocolate-chunk-rye-banana-bread/,Salty Chocolate Chunk Rye Banana Bread.,"['▢4medium over-ripe bananas, mashed(about 1 1/4 cup mashed)', '▢1/4cupmelted coconut oil', '▢1/4cuphoney', '▢2teaspoonsblackstrap molasses', '▢2large eggs', '▢1tablespoonvanilla extract', '▢1cupdark rye flour', '▢1/2cupall-purpose flour(whole pastry works too)', '▢1 1/2teaspoonsbaking soda', '▢1/2teaspoonsea salt', '▢1cupsemi-sweet or dark chocolate chunks']","['1. Preheat the oven to 350° F. Grease a 9×5 inch bread pan.2. In a large mixing bowl, stir together the mashed bananas, coconut oil, honey, molasses, eggs, and vanilla until combined. Add the rye flour, flour, baking soda, and salt. Mix until just combined. Fold in the chocolate chunks.3. Pour the batter into the prepared bread pan. Bake for 55-60 minutes, or until center is just set. Remove and let cool for at least 30 minutes before cutting…or just eat it warm and enjoy!']"
c6d2f81f,https://thevegan8.com/banana-molasses-cake-with-molasses-cream-frosting/,Vegan Banana Molasses Cake,"['1 1/2cups(192g) superfine oat flour (use gluten-free if necessary)', '1 1/2cups(168g) blanched almond flour', '1/4cup+ 2 tablespoons (45g) tapioca flour/starch', '1/2teaspooncinnamon', '1teaspoonbaking soda', '1 1/2teaspoonsaluminum free baking powder', '1/2teaspoonfine sea salt', '1/4cup+ 2 tablespoons (90g) unsweetened apple juice', '3tablespoons (60g)unsulphured molasses', '3/4cup (240g)pure maple syrup', '2teaspoons (10g)vanilla extract', '1medium banana', '2tablespoons (30g)apple cider vinegar']","['Preheat an oven to 350°F (177°C) degrees and spray an 8x8 square pan with baking flour non-stick spray.', 'To a large bowl, add the oat flour, almond flour, tapioca, cinnamon, baking soda, baking powder and salt and whisk very well. Set aside.', 'Next, add all the wet ingredients (apple juice, molasses, syrup, vanilla, banana, vinegar) to a blender or food processor and blend until very smooth and there are no lumps remaining. This is an important step, as it incorporates air and gives a wonderful texture to the cake. It works better than a beater. Pour the wet into the dry ingredients and gently fold until well incorporated.', 'Pour the batter into the prepared pan and bake for 25 minutesORuntil a toothpick comes out completely clean when inserted in the center. Place pan immediately on a cooking rack for 15 minutes. Gently turn over cake onto the cooling rack and it should slide right out. Cool COMPLETELY before frosting and slicing, otherwise the coconut frosting will melt off.', 'For the molasses cream frosting: place the coconut milk into the fridge to chill overnight or 2-3 days for best results.', ""Do NOT shake the can first, as the water and cream will have hardened and separated and you will only be using the cream. Scoop out all the hardened cream at the top. It should be very thick...if it is runny, it is not a good brand or can and won't work for the frosting. I recommend Thai Kitchen for best results."", 'Add the hardened cream to a medium bowl and beat until smooth. Add the vanilla, molasses and syrup and beat again for a couple of minutes until light and fluffy. Taste and add any more sweetener if desired, but keep in mind the cake is slightly sweet too and a light frosting goes well with the cake.', 'Spread onto the cooled cake and slice into 16 squares, or desired sizes. My can had a lot of cream in it, so I had extra. Keep the cake covered and stored in the fridge.']"
